,x,variable,value,label
53231,231.46292585170337,106,-0.7655,mod
53232,232.4649298597194,106,-0.7534,mod
53233,233.46693386773543,106,-0.7414,mod
53234,234.46893787575146,106,-0.7293,mod
53235,235.47094188376752,106,-0.7172,mod
53236,236.47294589178355,106,-0.7172,mod
53237,237.47494989979958,106,-0.7238,mod
53238,238.4769539078156,106,-0.7305,mod
53239,239.47895791583164,106,-0.7371,mod
53240,240.48096192384767,106,-0.7437,mod
53241,241.4829659318637,106,-0.7504,mod
53242,242.48496993987973,106,-0.757,mod
53243,243.48697394789576,106,-0.7578,mod
53244,244.4889779559118,106,-0.7542,mod
53245,245.49098196392782,106,-0.7506,mod
53246,246.49298597194385,106,-0.7469,mod
53247,247.49498997995988,106,-0.7433,mod
53248,248.4969939879759,106,-0.7397,mod
53249,249.49899799599197,106,-0.7361,mod
53250,250.501002004008,106,-0.7376,mod
53251,251.50300601202403,106,-0.7442,mod
53252,252.50501002004006,106,-0.7509,mod
53253,253.5070140280561,106,-0.7575,mod
53254,254.50901803607212,106,-0.7641,mod
53255,255.51102204408815,106,-0.7708,mod
53256,256.5130260521042,106,-0.7774,mod
53257,257.51503006012024,106,-0.7789,mod
53258,258.51703406813624,106,-0.7735,mod
53259,259.5190380761523,106,-0.768,mod
53260,260.5210420841683,106,-0.7626,mod
53261,261.52304609218436,106,-0.7572,mod
53262,262.52505010020036,106,-0.7517,mod
53263,263.5270541082164,106,-0.7463,mod
53264,264.5290581162324,106,-0.743,mod
53265,265.5310621242485,106,-0.7436,mod
53266,266.5330661322645,106,-0.7442,mod
53267,267.53507014028054,106,-0.7448,mod
53268,268.53707414829654,106,-0.7454,mod
53269,269.5390781563126,106,-0.746,mod
53270,270.5410821643286,106,-0.7466,mod
53271,271.54308617234466,106,-0.7481,mod
53272,272.5450901803607,106,-0.7517,mod
53273,273.5470941883767,106,-0.7553,mod
53274,274.5490981963928,106,-0.759,mod
53275,275.5511022044088,106,-0.7626,mod
53276,276.55310621242484,106,-0.7662,mod
53277,277.55511022044084,106,-0.7698,mod
53278,278.5571142284569,106,-0.7737,mod
53279,279.5591182364729,106,-0.7785,mod
53280,280.56112224448896,106,-0.7834,mod
53281,281.56312625250496,106,-0.7882,mod
53282,282.565130260521,106,-0.793,mod
53283,283.567134268537,106,-0.7979,mod
53284,284.5691382765531,106,-0.8027,mod
53285,285.57114228456913,106,-0.8053,mod
53286,286.57314629258514,106,-0.7944,mod
53287,287.5751503006012,106,-0.7835,mod
53288,288.5771543086172,106,-0.7727,mod
53289,289.57915831663325,106,-0.7618,mod
53290,290.58116232464926,106,-0.7509,mod
