,precision,recall,normalization
356,0.6192214111922141,1.0,MMAD AUC 0.99
357,0.6195982958003652,1.0,MMAD AUC 0.99
358,0.6199756394640682,1.0,MMAD AUC 0.99
359,0.6203534430225472,1.0,MMAD AUC 0.99
360,0.6207317073170732,1.0,MMAD AUC 0.99
361,0.6211104331909701,1.0,MMAD AUC 0.99
362,0.6214896214896215,1.0,MMAD AUC 0.99
363,0.6218692730604765,1.0,MMAD AUC 0.99
364,0.6222493887530562,1.0,MMAD AUC 0.99
365,0.6226299694189602,1.0,MMAD AUC 0.99
366,0.6230110159118727,1.0,MMAD AUC 0.99
367,0.6233925290875689,1.0,MMAD AUC 0.99
368,0.6237745098039216,1.0,MMAD AUC 0.99
369,0.6241569589209074,1.0,MMAD AUC 0.99
370,0.6245398773006134,1.0,MMAD AUC 0.99
371,0.6249232658072437,1.0,MMAD AUC 0.99
372,0.6253071253071253,1.0,MMAD AUC 0.99
373,0.6256914566687154,1.0,MMAD AUC 0.99
374,0.6260762607626076,1.0,MMAD AUC 0.99
375,0.6264615384615385,1.0,MMAD AUC 0.99
376,0.6268472906403941,1.0,MMAD AUC 0.99
377,0.6272335181762169,1.0,MMAD AUC 0.99
378,0.6276202219482121,1.0,MMAD AUC 0.99
379,0.6280074028377545,1.0,MMAD AUC 0.99
380,0.6283950617283951,1.0,MMAD AUC 0.99
381,0.6287831995058678,1.0,MMAD AUC 0.99
382,0.6291718170580964,1.0,MMAD AUC 0.99
383,0.629560915275201,1.0,MMAD AUC 0.99
384,0.629950495049505,1.0,MMAD AUC 0.99
385,0.6303405572755418,1.0,MMAD AUC 0.99
386,0.630731102850062,1.0,MMAD AUC 0.99
387,0.6311221326720396,1.0,MMAD AUC 0.99
388,0.6315136476426799,1.0,MMAD AUC 0.99
389,0.6319056486654252,1.0,MMAD AUC 0.99
390,0.6322981366459627,1.0,MMAD AUC 0.99
391,0.6326911124922312,1.0,MMAD AUC 0.99
392,0.6330845771144279,1.0,MMAD AUC 0.99
393,0.6334785314250155,1.0,MMAD AUC 0.99
394,0.6338729763387297,1.0,MMAD AUC 0.99
395,0.6342679127725857,1.0,MMAD AUC 0.99
396,0.6346633416458853,1.0,MMAD AUC 0.99
397,0.6350592638802246,1.0,MMAD AUC 0.99
398,0.6354556803995006,1.0,MMAD AUC 0.99
399,0.6358525921299188,1.0,MMAD AUC 0.99
400,0.63625,1.0,MMAD AUC 0.99
401,0.6366479049405879,1.0,MMAD AUC 0.99
402,0.6370463078848561,1.0,MMAD AUC 0.99
403,0.6374452097683156,1.0,MMAD AUC 0.99
404,0.6378446115288221,1.0,MMAD AUC 0.99
405,0.6382445141065831,1.0,MMAD AUC 0.99
406,0.6386449184441656,1.0,MMAD AUC 0.99
407,0.6390458254865035,1.0,MMAD AUC 0.99
408,0.6394472361809045,1.0,MMAD AUC 0.99
409,0.6398491514770585,1.0,MMAD AUC 0.99
410,0.640251572327044,1.0,MMAD AUC 0.99
411,0.6406544996853367,1.0,MMAD AUC 0.99
412,0.6410579345088161,1.0,MMAD AUC 0.99
413,0.6414618777567738,1.0,MMAD AUC 0.99
414,0.6418663303909206,1.0,MMAD AUC 0.99
415,0.6422712933753943,1.0,MMAD AUC 0.99
416,0.6426767676767676,1.0,MMAD AUC 0.99
417,0.6430827542640556,1.0,MMAD AUC 0.99
418,0.6434892541087232,1.0,MMAD AUC 0.99
419,0.6438962681846933,1.0,MMAD AUC 0.99
420,0.6443037974683544,1.0,MMAD AUC 0.99
421,0.6447118429385688,1.0,MMAD AUC 0.99
422,0.6451204055766794,1.0,MMAD AUC 0.99
423,0.6455294863665187,1.0,MMAD AUC 0.99
424,0.6459390862944162,1.0,MMAD AUC 0.99
425,0.6463492063492063,1.0,MMAD AUC 0.99
426,0.6467598475222364,1.0,MMAD AUC 0.99
427,0.6471710108073745,1.0,MMAD AUC 0.99
428,0.6475826972010178,1.0,MMAD AUC 0.99
429,0.6479949077021006,1.0,MMAD AUC 0.99
430,0.6484076433121019,1.0,MMAD AUC 0.99
431,0.6488209050350542,1.0,MMAD AUC 0.99
432,0.6492346938775511,1.0,MMAD AUC 0.99
433,0.6496490108487556,1.0,MMAD AUC 0.99
434,0.6500638569604087,1.0,MMAD AUC 0.99
435,0.6504792332268371,1.0,MMAD AUC 0.99
436,0.6508951406649617,1.0,MMAD AUC 0.99
437,0.6513115802943058,1.0,MMAD AUC 0.99
438,0.6517285531370038,1.0,MMAD AUC 0.99
439,0.6521460602178091,1.0,MMAD AUC 0.99
440,0.6525641025641026,1.0,MMAD AUC 0.99
441,0.6529826812059012,1.0,MMAD AUC 0.99
442,0.6534017971758665,1.0,MMAD AUC 0.99
443,0.6538214515093128,1.0,MMAD AUC 0.99
444,0.6542416452442159,1.0,MMAD AUC 0.99
445,0.6546623794212219,1.0,MMAD AUC 0.99
446,0.6550836550836551,1.0,MMAD AUC 0.99
447,0.6555054732775274,1.0,MMAD AUC 0.99
448,0.6559278350515464,1.0,MMAD AUC 0.99
449,0.6563507414571245,1.0,MMAD AUC 0.99
450,0.6567741935483871,1.0,MMAD AUC 0.99
451,0.657198192382182,1.0,MMAD AUC 0.99
452,0.6569767441860465,0.9990176817288802,MMAD AUC 0.99
453,0.6574014221073045,0.9990176817288802,MMAD AUC 0.99
454,0.6578266494178525,0.9990176817288802,MMAD AUC 0.99
455,0.658252427184466,0.9990176817288802,MMAD AUC 0.99
456,0.658678756476684,0.9990176817288802,MMAD AUC 0.99
457,0.6591056383668179,0.9990176817288802,MMAD AUC 0.99
458,0.6595330739299611,0.9990176817288802,MMAD AUC 0.99
459,0.6599610642439974,0.9990176817288802,MMAD AUC 0.99
460,0.6603896103896104,0.9990176817288802,MMAD AUC 0.99
461,0.6608187134502924,0.9990176817288802,MMAD AUC 0.99
462,0.6612483745123537,0.9990176817288802,MMAD AUC 0.99
463,0.6616785946649317,0.9990176817288802,MMAD AUC 0.99
464,0.662109375,0.9990176817288802,MMAD AUC 0.99
465,0.6625407166123779,0.9990176817288802,MMAD AUC 0.99
466,0.6629726205997393,0.9990176817288802,MMAD AUC 0.99
467,0.6634050880626223,0.9990176817288802,MMAD AUC 0.99
468,0.6638381201044387,0.9990176817288802,MMAD AUC 0.99
469,0.6642717178314826,0.9990176817288802,MMAD AUC 0.99
470,0.6647058823529411,0.9990176817288802,MMAD AUC 0.99
471,0.6651406147809026,0.9990176817288802,MMAD AUC 0.99
472,0.6655759162303665,0.9990176817288802,MMAD AUC 0.99
473,0.6660117878192534,0.9990176817288802,MMAD AUC 0.99
474,0.6664482306684142,0.9990176817288802,MMAD AUC 0.99
475,0.6668852459016393,0.9990176817288802,MMAD AUC 0.99
476,0.6673228346456693,0.9990176817288802,MMAD AUC 0.99
477,0.6677609980302035,0.9990176817288802,MMAD AUC 0.99
478,0.6681997371879106,0.9990176817288802,MMAD AUC 0.99
479,0.6686390532544378,0.9990176817288802,MMAD AUC 0.99
480,0.6690789473684211,0.9990176817288802,MMAD AUC 0.99
481,0.6695194206714944,0.9990176817288802,MMAD AUC 0.99
482,0.6699604743083004,0.9990176817288802,MMAD AUC 0.99
483,0.6704021094264997,0.9990176817288802,MMAD AUC 0.99
484,0.670844327176781,0.9990176817288802,MMAD AUC 0.99
485,0.6712871287128713,0.9990176817288802,MMAD AUC 0.99
486,0.6717305151915456,0.9990176817288802,MMAD AUC 0.99
487,0.6721744877726371,0.9990176817288802,MMAD AUC 0.99
488,0.6726190476190477,0.9990176817288802,MMAD AUC 0.99
489,0.6730641958967571,0.9990176817288802,MMAD AUC 0.99
490,0.6735099337748345,0.9990176817288802,MMAD AUC 0.99
491,0.6739562624254473,0.9990176817288802,MMAD AUC 0.99
492,0.6744031830238727,0.9990176817288802,MMAD AUC 0.99
493,0.674850696748507,0.9990176817288802,MMAD AUC 0.99
494,0.6752988047808764,0.9990176817288802,MMAD AUC 0.99
495,0.6757475083056479,0.9990176817288802,MMAD AUC 0.99
496,0.6761968085106383,0.9990176817288802,MMAD AUC 0.99
497,0.6766467065868264,0.9990176817288802,MMAD AUC 0.99
498,0.6770972037283621,0.9990176817288802,MMAD AUC 0.99
499,0.6775483011325782,0.9990176817288802,MMAD AUC 0.99
500,0.678,0.9990176817288802,MMAD AUC 0.99
501,0.6784523015343562,0.9990176817288802,MMAD AUC 0.99
502,0.6789052069425902,0.9990176817288802,MMAD AUC 0.99
503,0.678690714762859,0.9980353634577603,MMAD AUC 0.99
504,0.679144385026738,0.9980353634577603,MMAD AUC 0.99
505,0.6795986622073579,0.9980353634577603,MMAD AUC 0.99
506,0.6800535475234271,0.9980353634577603,MMAD AUC 0.99
507,0.680509042196919,0.9980353634577603,MMAD AUC 0.99
