,fpr,tpr,normalization
140,0.06720977596741344,0.9715127701375246,MMAD AUC 0.99
141,0.06720977596741344,0.9724950884086444,MMAD AUC 0.99
142,0.07331975560081466,0.9724950884086444,MMAD AUC 0.99
143,0.07331975560081466,0.9734774066797642,MMAD AUC 0.99
144,0.07637474541751528,0.9734774066797642,MMAD AUC 0.99
145,0.07637474541751528,0.9754420432220039,MMAD AUC 0.99
146,0.08044806517311609,0.9754420432220039,MMAD AUC 0.99
147,0.08044806517311609,0.9764243614931237,MMAD AUC 0.99
148,0.0835030549898167,0.9764243614931237,MMAD AUC 0.99
149,0.0835030549898167,0.9774066797642437,MMAD AUC 0.99
150,0.0845213849287169,0.9774066797642437,MMAD AUC 0.99
151,0.0845213849287169,0.9793713163064833,MMAD AUC 0.99
152,0.0855397148676171,0.9793713163064833,MMAD AUC 0.99
153,0.0855397148676171,0.9803536345776032,MMAD AUC 0.99
154,0.08757637474541752,0.9803536345776032,MMAD AUC 0.99
155,0.08757637474541752,0.981335952848723,MMAD AUC 0.99
156,0.08961303462321792,0.981335952848723,MMAD AUC 0.99
157,0.08961303462321792,0.9823182711198428,MMAD AUC 0.99
158,0.09164969450101833,0.9823182711198428,MMAD AUC 0.99
159,0.09164969450101833,0.9833005893909627,MMAD AUC 0.99
160,0.09979633401221996,0.9833005893909627,MMAD AUC 0.99
161,0.09979633401221996,0.9842829076620825,MMAD AUC 0.99
162,0.10386965376782077,0.9842829076620825,MMAD AUC 0.99
163,0.10386965376782077,0.9852652259332023,MMAD AUC 0.99
164,0.11303462321792261,0.9852652259332023,MMAD AUC 0.99
165,0.11303462321792261,0.9862475442043221,MMAD AUC 0.99
166,0.11507128309572301,0.9862475442043221,MMAD AUC 0.99
167,0.11507128309572301,0.9872298624754421,MMAD AUC 0.99
168,0.11812627291242363,0.9872298624754421,MMAD AUC 0.99
169,0.11812627291242363,0.9882121807465619,MMAD AUC 0.99
170,0.1364562118126273,0.9882121807465619,MMAD AUC 0.99
171,0.1364562118126273,0.9891944990176817,MMAD AUC 0.99
172,0.14562118126272913,0.9891944990176817,MMAD AUC 0.99
173,0.14562118126272913,0.9901768172888016,MMAD AUC 0.99
174,0.16089613034623218,0.9901768172888016,MMAD AUC 0.99
175,0.16089613034623218,0.9911591355599214,MMAD AUC 0.99
176,0.16395112016293278,0.9911591355599214,MMAD AUC 0.99
177,0.16395112016293278,0.9921414538310412,MMAD AUC 0.99
178,0.20875763747454176,0.9921414538310412,MMAD AUC 0.99
179,0.20875763747454176,0.9931237721021611,MMAD AUC 0.99
180,0.21181262729124237,0.9931237721021611,MMAD AUC 0.99
181,0.21181262729124237,0.9941060903732809,MMAD AUC 0.99
182,0.32077393075356414,0.9941060903732809,MMAD AUC 0.99
183,0.32077393075356414,0.9950884086444007,MMAD AUC 0.99
184,0.3380855397148676,0.9950884086444007,MMAD AUC 0.99
185,0.3380855397148676,0.9960707269155207,MMAD AUC 0.99
186,0.40224032586558045,0.9960707269155207,MMAD AUC 0.99
187,0.40224032586558045,0.9970530451866405,MMAD AUC 0.99
188,0.4124236252545825,0.9970530451866405,MMAD AUC 0.99
189,0.4124236252545825,0.9980353634577603,MMAD AUC 0.99
190,0.48981670061099797,0.9980353634577603,MMAD AUC 0.99
191,0.48981670061099797,0.9990176817288802,MMAD AUC 0.99
192,0.5407331975560081,0.9990176817288802,MMAD AUC 0.99
193,0.5407331975560081,1.0,MMAD AUC 0.99
194,1.0,1.0,MMAD AUC 0.99
195,0.0,0.0,min-max AUC 0.97
196,0.0,0.03023983315954119,min-max AUC 0.97
197,0.0,0.0364963503649635,min-max AUC 0.97
198,0.0,0.03962460896767466,min-max AUC 0.97
199,0.0,0.045881126173096975,min-max AUC 0.97
200,0.0,0.05005213764337852,min-max AUC 0.97
201,0.0,0.05526590198123045,min-max AUC 0.97
202,0.0,0.06360792492179354,min-max AUC 0.97
203,0.0,0.07194994786235662,min-max AUC 0.97
204,0.0,0.0740354535974974,min-max AUC 0.97
205,0.0,0.07507820646506778,min-max AUC 0.97
206,0.0,0.07716371220020855,min-max AUC 0.97
207,0.0,0.08029197080291971,min-max AUC 0.97
208,0.0,0.08654848800834203,min-max AUC 0.97
209,0.0,0.09384775808133472,min-max AUC 0.97
210,0.0,0.09593326381647549,min-max AUC 0.97
211,0.0,0.10948905109489052,min-max AUC 0.97
212,0.0,0.11157455683003129,min-max AUC 0.97
213,0.0,0.1616266944734098,min-max AUC 0.97
214,0.0,0.16371220020855057,min-max AUC 0.97
215,0.0,0.17205422314911367,min-max AUC 0.97
216,0.0,0.17413972888425444,min-max AUC 0.97
217,0.0,0.17935349322210636,min-max AUC 0.97
218,0.0,0.18143899895724713,min-max AUC 0.97
219,0.0,0.18769551616266944,min-max AUC 0.97
220,0.0,0.1897810218978102,min-max AUC 0.97
221,0.0,0.19395203336809178,min-max AUC 0.97
222,0.0,0.19603753910323254,min-max AUC 0.97
223,0.0,0.1981230448383733,min-max AUC 0.97
224,0.0,0.20020855057351408,min-max AUC 0.97
225,0.0,0.28884254431699685,min-max AUC 0.97
226,0.0,0.2909280500521376,min-max AUC 0.97
227,0.0,0.46506777893639206,min-max AUC 0.97
228,0.0009606147934678194,0.46506777893639206,min-max AUC 0.97
229,0.0009606147934678194,0.47758081334723673,min-max AUC 0.97
