,Umap1,Umap2,label,A
197,8.802289,10.1117325,A,0
198,11.683725,7.0149446,A,0
199,10.311625,8.71871,A,0
200,10.950411,7.6007004,A,0
201,13.283509,4.89938,A,0
202,10.437203,6.480896,A,0
203,9.876388,8.187597,A,0
204,8.877907,10.411508,A,0
205,7.84499,11.442304,A,0
206,8.323992,11.774332,A,0
207,6.717075,12.428985,A,0
208,7.5736785,12.055249,A,0
209,9.460051,10.7751665,A,0
210,8.897674,9.739702,A,0
211,7.5398965,11.945083,A,0
212,6.361056,13.123625,A,0
213,9.974141,10.756578,A,0
214,9.820314,9.411309,A,0
215,8.749648,10.355184,A,0
216,7.620548,12.513723,A,0
217,7.8917227,11.732713,A,0
218,11.218148,7.262302,A,0
219,6.2179847,11.071463,A,0
220,4.661309,11.79281,A,0
221,7.7104673,12.183533,A,0
222,9.562763,11.407505,A,0
223,11.584214,6.9121833,A,0
224,11.480796,6.3513384,A,0
225,10.075282,10.439189,A,0
226,10.192629,9.354747,A,0
227,9.683004,8.451525,A,0
228,7.8694706,10.336267,A,0
229,8.924853,10.295114,A,0
230,8.428501,10.958742,A,0
231,8.150498,10.671882,A,0
232,8.811571,11.3321705,A,0
233,8.770636,9.330551,A,0
234,9.874834,8.710232,A,0
235,10.089871,9.6169195,A,0
236,9.497146,10.776245,A,0
237,8.995541,11.048778,A,0
238,10.206767,9.054068,A,0
239,10.277502,7.7928257,A,0
240,7.935328,11.243597,A,0
241,8.647515,10.5391865,A,0
242,8.121105,9.916916,A,0
243,8.654987,9.340741,A,0
244,10.307055,8.129835,A,0
245,10.3379965,9.975256,A,0
246,10.265262,10.592,A,0
247,9.198525,10.2877865,A,0
248,11.532965,7.1543937,A,0
249,8.118734,11.076171,A,0
250,9.962087,8.654808,A,0
251,11.673686,5.607716,m1A,0
252,11.123967,6.0086727,m1A,0
253,10.503205,9.83445,m1A,0
254,4.534454,11.950992,m1A,0
255,12.090212,4.962782,m1A,0
256,10.531303,6.7477074,m1A,0
257,11.532482,4.4493876,m1A,0
258,5.2626543,13.585535,m1A,0
259,4.8131666,11.958337,m1A,0
260,10.565952,10.478761,m1A,0
261,8.115816,9.135893,m1A,0
262,4.713805,11.777342,m1A,0
263,13.039806,5.518873,m1A,0
264,4.329653,13.274873,m1A,0
265,9.871297,7.0187855,m1A,0
266,10.166379,11.040001,m1A,0
267,4.623513,13.326706,m1A,0
268,4.3499646,13.369509,m1A,0
269,10.149722,5.6437325,m1A,0
270,6.036886,11.507561,m1A,0
271,11.671894,4.860633,m1A,0
272,4.423019,13.576272,m1A,0
273,10.926319,5.1634564,m1A,0
274,8.369113,9.230381,m1A,0
275,6.0726137,13.287107,m1A,0
276,10.27068,6.8818264,m1A,0
277,11.302015,4.547563,m1A,0
278,11.025161,6.5644264,m1A,0
279,5.767366,13.423766,m1A,0
280,7.5130324,12.052216,m1A,0
